"Name Prefix","Title"
"Please check the billing address information. %1","Please check your billing address has been entered correctly and all required fields below have been filled."
"Add to Cart","Add to basket"
"You have no items in your shopping cart.","You have no items in your basket."
"View cart","View basket"
"Cart Subtotal","Basket subtotal"
"Clear Shopping Cart","Clear basket"
"Update Shopping Cart","Update basket"
"Shopping Cart","Your basket"
"View Cart","View basket"
"Back to Shopping Cart","Back to basket"
"You added %1 to your shopping cart.","You added %1 to your shopping basket."
"State/Province","County"
"Zip/Postal Code","Post code"
"General Subscription","I would like to receive the Calor newsletter"
"View and Edit Cart", "View and edit basket"
"View and edit cart", "View and edit basket"
"links", "Account"
"Proceed to Checkout","Proceed to checkout"
"Estimate Shipping and Tax","Estimate shipping"
"Order Total","Order total"
"Place Order","Place order"
"New Address","New address"
"Shipping Address","Shipping address"
"Shipping Address","Shipping address"
"Order Summary","Order summary"
"Items in Cart","Items in basket"
"Shipping Methods", "Shipping methods"
"Forgot Your Password", "Forgot your password"
"Reset My Password", "Reset my password"
"Set a New Password", "Set a new password"
"You updated your password.","Your password has been updated"
"Sign In", "Sign in"
"We received too many requests for password resets.","We have received too many requests for password resets."
"Go to Checkout", "Go to checkout"
"Now Shopping by", "Applied filters"
"Your Customization", "Your Customisation"
"Customize and Add to Cart", "Customise and add to basket"
"SKU","Product Code"
"SKU:","Product Code:"
"SKU#","Product Code"
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","As a minimum passwords must contains a combination of lower case and upper case characters along with at least 1 special character."
"As low as","From"
"Review & Payments","Review & Order"